date,time,pid,tid,Phase,Target,Vel,V,A,,
9/26/2025,10:53.0,5399,9060,RampUp,402.1247204,420,12.76,204,,4.4%
9/26/2025,10:53.0,5399,9060,RampUp,403.71056477999997,420,12.756,204,,4.0%
9/26/2025,10:53.0,5399,9060,RampUp,405.317234,420,12.76,211,,3.6%
9/26/2025,10:53.0,5399,9060,RampUp,406.9044259,400,12.76,215,,-1.7%
9/26/2025,10:53.0,5399,9060,RampUp,408.3863902,400,12.756,273,,-2.1%
9/26/2025,10:53.1,5399,9060,RampUp,409.8156795,400,12.76,287,,-2.4%
9/26/2025,10:53.1,5399,9060,RampUp,411.1867405,400,12.756,291,,-2.7%
9/26/2025,10:53.1,5399,9060,RampUp,412.5840572,400,12.76,273,,-3.1%
9/26/2025,10:53.1,5399,9060,RampUp,413.9460533,400,12.756,273,,-3.4%
9/26/2025,10:53.1,5399,9060,RampUp,415.3696259,420,12.76,262,,1.1%
9/26/2025,10:53.1,5399,9060,RampUp,416.7671877,420,12.756,258,,0.8%
9/26/2025,10:53.1,5399,9060,RampUp,418.23661618000006,420,12.76,244,,0.4%
9/26/2025,10:53.1,5399,9060,RampUp,419.7786872,420,12.76,247,,0.1%
9/26/2025,10:53.1,5399,9060,RampUp,421.2221865,440,12.76,240,,4.5%
9/26/2025,10:53.1,5399,9060,RampUp,422.67581248000005,420,12.764000000000001,196,,-0.6%
9/26/2025,10:53.2,5399,9060,RampUp,424.27031350000004,420,12.76,200,,-1.0%
9/26/2025,10:53.2,5399,9060,RampUp,425.8224703,420,12.764000000000001,193,,-1.4%
9/26/2025,10:53.2,5399,9060,RampUp,427.7559697,400,12.76,200,,-6.5%
9/26/2025,10:53.2,5399,9060,RampUp,429.41237392000005,400,12.76,225,,-6.8%
9/26/2025,10:53.2,5399,9060,RampUp,431.1277824,400,12.756,353,,-7.2%
9/26/2025,10:53.2,5399,9060,RampUp,432.9442535,400,12.76,335,,-7.6%
9/26/2025,10:53.2,5399,9060,RampUp,434.83847124000005,420,12.76,295,,-3.4%
9/26/2025,10:53.2,5399,9060,RampUp,436.8635598,440,12.76,273,,0.7%
9/26/2025,10:53.3,5399,9060,RampUp,438.8102483,480,12.76,269,,9.4%
9/26/2025,10:53.3,5399,9060,RampUp,440.6501168,460,12.76,258,,4.4%
9/26/2025,10:53.3,5399,9060,RampUp,442.5389853,480,12.76,255,,8.5%
9/26/2025,10:53.3,5399,9060,RampUp,444.27848545999996,480,12.764000000000001,233,,8.0%
9/26/2025,10:53.3,5399,9060,RampUp,446.12611236000004,460,12.76,200,,3.1%
9/26/2025,10:53.3,5399,9060,RampUp,447.9627959,480,12.76,204,,7.2%
9/26/2025,10:53.3,5399,9060,RampUp,449.7849835,460,12.76,207,,2.3%
9/26/2025,10:53.4,5399,9060,RampUp,452.12555041999997,440,12.756,269,,-2.7%
9/26/2025,10:53.4,5399,9060,RampUp,454.1991081,440,12.756,284,,-3.1%
9/26/2025,10:53.4,5399,9060,RampUp,455.950695,460,12.751,280,,0.9%
9/26/2025,10:53.4,5399,9060,RampUp,457.72731260000006,460,12.76,266,,0.5%
